year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
1996,Eugene Wu,115,Taiwan,2.7,inherited,male,0,Hedge funds,new,relation
1996,Eugenio Garza Lagnera,361,MEX,1.1,inherited,male,0,0,new,relation
2001,Eugenio Garza Lagnera,182,MEX,2.5,inherited,male,,0,new,relation
1996,Eugenio Lopez,402,PHL,1,self-made finance,male,0,Diversified financial,new,owner
2014,Eva Gonda Rivera,212,MEX,6.4,inherited,female,,Consumer,new,relation
2014,Eva Maria Bucher-Haefner,642,CHE,2.7,inherited,female,57,Technology-Computer,new,relation
2014,Evan Williams,446,USA,3.5,founder non-finance,male,41,Technology-Computer,new,founder
1996,Evelyn Danzig Haas,370,USA,1.1,inherited,female,0,"Retail, Restaurant",new,relation
2014,Evgeny (Eugene) Shvidler,1465,USA,1.1,privatized and resources,male,49,Energy,new,founder
2014,Eyal Ofer,191,ISR,7,inherited,male,63,Real Estate,new,relation
2014,Ezra Nahmad,1154,MCO,1.5,founder non-finance,male,68,Other,new,founder
2014,Fahd Hariri,1372,LBN,1.2,inherited,male,33,Constrution,aquired,relation
2014,Fang Wei,1465,CHN,1.1,privatized and resources,male,40,Non-consumer industrial,new,chairman
2014,Farhad Moshiri,580,GBR,2.9,privatized and resources,male,58,Mining and metals,new,founder
2014,Farkhad Akhmedov,1210,RUS,1.4,privatized and resources,male,58,Energy,subsidiary,owner
2014,Farris Wilks,1154,USA,1.5,privatized and resources,male,62,Energy,new,founder
2014,Faruk Eczacibasi,1154,TUR,1.5,inherited,male,59,Technology-Medical,new,relation
2014,Fawzi Al-Kharafi,1284,KWT,1.3,inherited,male,,Diversified financial,new,relation
1996,Fayez Sarofim,343,USA,1.2,self-made finance,male,67,Money Management,new,relation
2001,Fayez Sarofim,234,USA,2,self-made finance,male,72,Money Management,new,relation
2014,Fayez Sarofim,931,USA,1.9,self-made finance,male,85,Money Management,new,relation
2014,Feng Hailiang,1565,CHN,1,founder non-finance,male,53,0,new,founder
2014,Ferit Sahenk,828,TUR,2.1,inherited,male,49,Money Management,new,relation
2014,Fernando Roberto Moreira Salles,580,BRA,2.9,inherited,male,67,Money Management,new,relation
2014,Fernando Roig,1442,ESP,1.2,inherited,male,66,"Retail, Restaurant",new,relation
2014,Filaret Galchev,234,RUS,6,founder non-finance,male,50,Constrution,new,founder
2014,Filiz Sahenk,988,TUR,1.8,inherited,female,47,Money Management,new,relation
2014,Finn Rausing,278,SWE,5.1,inherited,male,59,Other,new,relation
2014,Fiona Geminder,869,AUS,2,inherited,female,49,Consumer,new,relation
2014,Florentino Perez,869,ESP,2,executive,male,66,Constrution,aquired,Chairman and Chief Executive Officer
2014,Folorunsho Alakija,687,NGA,2.5,privatized and resources,female,63,Energy,new,founder
1996,Fong Teng,28,HKG,5.2,inherited,male,0,Consumer,new,relation
1996,Forrest Mars Jr,103,USA,3,inherited,male,64,Consumer,new,relation
2001,Forrest Mars Jr,31,USA,9,inherited,male,69,Consumer,new,relation
1996,Forrest Mars Sr,102,USA,3,inherited,male,0,Consumer,new,relation
2014,"Forrest Mars, Jr.",31,USA,20,inherited,male,82,Consumer,new,relation
1996,Frances Koshland Geballe,332,USA,1.2,inherited,female,0,"Retail, Restaurant",new,relation
2001,Francesco Gaetano Caltagirone,452,ITA,1.1,executive,male,54,Constrution,aquired,owner
2014,Francesco Gaetano Caltagirone,1154,ITA,1.5,executive,male,70,Constrution,aquired,owner
2001,Francesco Micheli,387,ITA,1.3,self-made finance,male,,Money Management,new,chairman
2014,Francesco Saverio Salini,1210,ITA,1.4,inherited,male,78,Constrution,new,relation
2014,Francis Choi,483,HKG,3.3,self-made finance,male,66,Real Estate,new,founder
2014,Francisco Ivens de Sa Dias Branco,367,BRA,4.1,executive,male,77,Consumer,new,relation
2014,Francisco Jose Riberas Mera,687,ESP,2.5,inherited,male,49,Non-consumer industrial,new,relation
2001,Francois Pinault,47,FRA,6.3,founder non-finance,male,64,"Retail, Restaurant",new,founder
2014,Francois Pinault,58,FRA,15.5,founder non-finance,male,77,"Retail, Restaurant",new,founder
2001,Frank Batten,336,USA,1.5,founder non-finance,male,74,Media,new,founder
2014,"Frank Fertitta, III.",1284,USA,1.3,self-made finance,male,52,Real Estate,new,ceo
2001,Frank Levinson,490,USA,1,founder non-finance,male,,Technology-Computer,new,founder
2001,Frank Lowy,209,AUS,2.2,self-made finance,male,70,Real Estate,new,founder
2014,Frank Lowy,319,AUS,4.7,self-made finance,male,83,Real Estate,new,founder
2014,Frank Stronach,1284,CAN,1.3,founder non-finance,male,81,Consumer,new,founder
2001,Franklin Booth,363,USA,1.4,self-made finance,male,78,Money Management,new,investor 
2014,Fred Chang,1565,USA,1,founder non-finance,male,57,"Retail, Restaurant",new,founder
2014,Fred DeLuca,551,USA,3,founder non-finance,male,66,"Retail, Restaurant",new,founder
1996,Fred Lennon,415,USA,1,founder non-finance,male,0,Non-consumer industrial,new,founder
2001,Frederick Field,421,USA,1.2,inherited,male,48,"Retail, Restaurant",new,relation
2014,Frederick Smith,506,USA,3.2,founder non-finance,male,69,"Retail, Restaurant",new,founder
2014,Frederik Paulsen,281,SWE,5,inherited,male,63,Technology-Medical,new,relation
2014,Fredrik Lundberg,466,SWE,3.4,inherited,male,62,Real Estate,new,relation
1996,Freudenberg family,260,DEU,1.5,inherited,,0,Consumer,new,,,,,,,,,,,,,
2014,Friede Springer,354,DEU,4.2,inherited,female,71,Media,new,relation
2014,Friedhelm Loh,551,DEU,3,inherited,male,67,Non-consumer industrial,new,relation
1996,Friedrich Flick,45,DEU,4.5,inherited,male,69,Money Management,new,relation
2001,Friedrich Flick,64,DEU,5.3,inherited,male,74,Money Management,new,relation
2014,Frits Goldschmeding,295,NLD,4.9,founder non-finance,male,80,Other,new,founder
2014,Fritz Draexlmaier,931,DEU,1.9,inherited,male,,Consumer,new,relation
2014,Fu Kwan,1565,CHN,1,self-made finance,male,56,Diversified financial,new,chairman
2014,Fu Liquan,483,CHN,3.3,executive,male,46,Technology-Computer,new,chairman
2014,Fu Meicheng,931,CHN,1.9,executive,male,56,Media,new,chairman
1996,Fukuzo Iwasaki,55,JPN,4,inherited,male,71,Real Estate,new,relation
2001,Fukuzo Iwasaki,95,JPN,4.2,inherited,male,76,Real Estate,new,relation
1996,Funke family,174,DEU,2.1,,,0,Media,,,,,,,,,,,,,,
2014,Gabe Newell,1372,USA,1.2,founder non-finance,male,51,Consumer,new,founder
2001,Gabriel Escarrer,490,ESP,1,founder non-finance,male,66,"Retail, Restaurant",new,founder
2014,Gabriel Escarrer,1046,ESP,1.7,founder non-finance,male,79,"Retail, Restaurant",new,founder
1996,Galen Weston,350,CAN,1.1,inherited,male,55,"Retail, Restaurant",new,relation
2001,Galen Weston,98,CAN,4,inherited,male,60,"Retail, Restaurant",new,relation
2014,Galen Weston,153,CAN,8.5,inherited,male,73,"Retail, Restaurant",new,relation
2014,Gao Dekang,1092,CHN,1.6,executive,male,62,Consumer,new,chairman
1996,Garry Weston,82,GBR,3.3,inherited,male,0,Consumer,new,relation
2014,Gary Burrell,1092,USA,1.6,founder non-finance,male,76,Technology-Computer,new,founder
2001,Gary Magness,312,USA,1.6,inherited,male,47,Media,new,relation
2014,Gary Magness,988,USA,1.8,inherited,male,60,Media,new,relation
2014,Gary Michelson,1154,USA,1.5,executive,male,65,Technology-Medical,new,inventor
2001,Gary Winnick,234,USA,2,self-made finance,male,,Money Management,new,founder
2014,Gautam Adani,609,IND,2.8,privatized and resources,male,51,Mining and metals,new,founder
2014,Gavril Yushvaev,1046,RUS,1.7,privatized and resources,male,56,Mining and metals,new,owner
2014,Gayle Cook,240,USA,5.8,founder non-finance,female,80,Technology-Medical,new,founder
2014,Gennady Timchenko,61,RUS,15.3,privatized and resources,male,61,Energy,new,founder
2014,Georg Schaeffler,71,DEU,14.3,inherited,male,49,Non-consumer industrial,new,relation
2001,Georg Thyssen-Bornemisza,234,CHE,2,inherited,male,,Non-consumer industrial,new,relation
2014,Georg von Opel,869,DEU,2,inherited,male,47,Real Estate,new,relation
2014,George Argyros,731,USA,2.4,self-made finance,male,77,Real Estate,new,investor
2014,George Bishop,446,USA,3.5,privatized and resources,male,77,Energy,new,founder
2014,George Joseph,1284,USA,1.3,self-made finance,male,92,Money Management,new,founder
2001,George Kaiser,198,USA,2.3,inherited,male,58,Energy,new,relation
2014,George Kaiser,122,USA,10,inherited,male,71,Energy,new,relation
2001,George Lindemann,363,USA,1.4,self-made finance,male,64,Money Management,new,Chairman and Chief Executive Officer
2014,George Lindemann,506,USA,3.2,self-made finance,male,77,Diversified financial,new,Chairman and Chief Executive Officer
1996,George Lucas,201,USA,2,founder non-finance,male,51,Media,new,founder
2001,George Lucas,151,USA,3,founder non-finance,male,56,Media,new,founder
2014,George Lucas,295,USA,4.9,founder non-finance,male,69,Media,new,founder
2001,George Mitchell,312,USA,1.6,privatized and resources,male,81,Energy,new,founder
2001,George Roberts,336,USA,1.5,self-made finance,male,56,Private equity/leveraged buyout,new,founder
2014,George Roberts,281,USA,5,self-made finance,male,70,Private equity/leveraged buyout,new,founder
1996,George Soros,144,USA,2.5,self-made finance,male,65,Hedge funds,new,founder
2001,George Soros,50,USA,6,self-made finance,male,70,Hedge funds,new,founder
2014,George Soros,26,USA,23,self-made finance,male,83,Hedge funds,new,founder
1996,George Ty,124,PHL,2.6,self-made finance,male,0,Money Management,new,founder
2014,George Ty,764,PHL,2.3,self-made finance,male,81,Money Management,new,founder
1996,George Wong,352,HKG,1.1,inherited,male,0,Real Estate,new,relation
2001,George Ying Chow Lien,490,SGP,1,self-made finance,male,,Money Management,new,founder
2001,Gerald Cadogan,490,GBR,1,inherited,male,,Real Estate,new,relation
1996,Gerald Cavendish Grosvenor,251,GBR,1.6,inherited,male,44,Real Estate,new,relation
2001,Gerald Cavendish Grosvenor,45,GBR,6.5,inherited,male,49,Real Estate,new,relation
2014,Gerald Cavendish Grosvenor,81,GBR,13,inherited,male,62,Real Estate,new,relation
2014,Gerald J. Ford,828,USA,2.1,self-made finance,male,69,Money Management,new,Chairman
2014,Gerald Schwartz,1036,CAN,1.8,self-made finance,male,72,Money Management,new,founder
1996,Gerard Louis-Dreyfus,386,FRA,1,inherited,male,63,Money Management,new,relation
2001,Gerard Louis-Dreyfus,124,FRA,3.4,inherited,male,68,Money Management,new,relation
1996,Gerard Mulliez,21,FRA,5.7,founder non-finance,male,0,"Retail, Restaurant",new,founder
2014,Gerard Wertheimer,141,FRA,9,inherited,male,63,Consumer,new,relation
2001,Germain Lamonde,387,CAN,1.3,founder non-finance,male,,Media,new,founder
2014,German Khan,100,RUS,11.3,privatized and resources,male,52,Energy,new,founder
2001,German Larrea Mota Velasco,490,MEX,1,privatized and resources,male,47,Mining and metals,new,founder
2014,German Larrea Mota Velasco,67,MEX,14.7,privatized and resources,male,60,Mining and metals,new,founder
2014,Gernot Langes-Swarovski,1284,AUT,1.3,inherited,male,70,Consumer,new,relation
2014,Gerry Harvey,1372,AUS,1.2,founder non-finance,male,74,"Retail, Restaurant",new,founder
2014,Gian Marco Moratti,1210,ITA,1.4,inherited,male,77,Energy,new,relation
2014,Giancarlo Franceso Civita,1540,BRA,1.1,inherited,male,,Media,new,relation
2014,Gianluigi Aponte,506,CHE,3.2,founder non-finance,male,,Other,new,founder
1996,Gianni Agnelli,109,ITA,2.8,inherited,male,0,Consumer,new,relation
2001,Gianni Agnelli,146,ITA,3.1,inherited,male,,Consumer,new,relation
2001,Gil Shwed,312,ISR,1.6,founder non-finance,male,33,Technology-Computer,new,founder
2014,Gil Shwed,988,ISR,1.8,founder non-finance,male,46,Technology-Computer,new,founder
2014,Gilberto Benetton,580,ITA,2.9,founder non-finance,male,72,Consumer,new,founder
2014,Gilles Martin,1372,FRA,1.2,founder non-finance,male,50,Technology-Medical,new,founder
2014,Gina Rinehart,46,AUS,17.7,inherited,female,60,Mining and metals,new,relation
2001,Giorgio Armani,292,ITA,1.7,founder non-finance,male,66,Consumer,new,founder
2014,Giorgio Armani,129,ITA,9.9,founder non-finance,male,79,Consumer,new,founder
2014,Giuliana Benetton,580,ITA,2.9,founder non-finance,female,76,Consumer,new,founder
2014,Giuseppe De'Longhi,796,ITA,2.2,inherited,male,74,"Retail, Restaurant",new,relation
2014,Gleb Fetisov,1210,RUS,1.4,executive,male,47,Media,new,owner
2001,Glen Taylor,251,USA,1.9,founder non-finance,male,59,Media,aquired,founder
2014,Glen Taylor,988,USA,1.8,founder non-finance,male,72,Media,aquired,founder
2014,Glenn Dubin,988,USA,1.8,self-made finance,male,56,Hedge funds,new,founder
2001,Gloria von Thurn und Taxis,363,DEU,1.4,inherited,female,,Money Management,new,relation
2014,God Nisanov,430,RUS,3.6,self-made finance,male,41,Real Estate,,founder
2014,Goh Cheng Liang,827,SGP,2.2,founder non-finance,male,,Consumer,joint venture,chairman
2014,Goh Peng Ooi,1465,MYS,1.1,founder non-finance,male,59,Technology-Computer,new,founder
2014,Gong Hongjia,408,HKG,3.7,self-made finance,male,49,Diversified financial,new,owner and vice chair
1996,Gordon Getty,237,USA,1.7,inherited,male,45,Energy,new,relation
2001,Gordon Getty,198,USA,2.3,inherited,male,60,Energy,new,relation
2014,Gordon Getty,869,USA,2,inherited,male,80,Energy,new,relation
1996,Gordon Moore,64,USA,3.7,founder non-finance,male,67,Technology-Computer,new,founder
2001,Gordon Moore,60,USA,5.4,founder non-finance,male,72,Technology-Computer,new,founder
2014,Gordon Moore,281,USA,5,founder non-finance,male,85,Technology-Computer,new,founder
2014,Gordon Wu,1465,HKG,1.1,self-made finance,male,79,Real Estate,new,founder
1996,Goroemon Yoshimoto,132,JPN,2.5,,male,0,Real Estate,,,,,,,,,,,,,,
1996,Goulandris family,231,GRC,1.7,inherited,,0,Money Management,,,,,,,,,,,,,,
2014,Graeme Hart,191,NZL,7,self-made finance,male,58,Diversified financial,new,founder
2014,Graham Kirkham,1565,GBR,1,founder non-finance,male,69,"Retail, Restaurant",aquired,founder
1996,Gregorio Perez Companc,67,ARG,3.6,inherited,male,61,Consumer,new,relation
2001,Gregorio Perez Companc,292,ARG,1.7,inherited,male,66,Consumer,new,relation
2014,Gregorio Perez Companc,1154,ARG,1.5,inherited,male,78,Energy,new,relation
2014,Gu Wei,1092,CHN,1.6,executive,male,49,Non-consumer industrial,new,chairman
2014,Guenter Herz & Family,340,DEU,4.4,inherited,male,73,Consumer,new,relation
2014,Guenther Fielmann,408,DEU,3.7,founder non-finance,male,74,Other,new,founder
2014,Guenther Lehmann,988,DEU,1.8,executive,male,,"Retail, Restaurant",new,owner
2014,Guilherme Peirao Leal,1372,BRA,1.2,executive,male,64,Consumer,new,co-chairman
1996,Gunter Herz,113,DEU,2.7,inherited,male,55,Consumer,new,relation
2001,Gunter Herz,76,DEU,4.8,inherited,male,60,Consumer,new,relation
2014,Guo Guangchang,345,CHN,4.3,self-made finance,male,47,Diversified financial,new,founder
2014,Gustaf Douglas,375,SWE,4,founder non-finance,male,76,Other,new,founder
1996,Gustavo Cisneros,382,VEN,1.1,inherited,male,50,Media,new,relation
2001,Gustavo Cisneros,64,VEN,5.3,inherited,male,55,Media,new,relation
2014,Gustavo Cisneros,375,VEN,4,inherited,male,68,Media,new,relation
2014,Guy Laliberte,869,CAN,2,founder non-finance,male,54,Other,new,founder
2014,Gwendolyn Sontheim Meyer,305,USA,4.8,inherited,female,52,Money Management,new,relation
1996,H Wayne Huizenga,291,USA,1.4,self-made finance,male,58,0,new,founder
2001,H Wayne Huizenga,209,USA,2.2,self-made finance,male,63,0,new,founder
2014,H. Fisk Johnson,551,USA,3,inherited,male,55,Consumer,new,relation
2014,"H. Ross Perot, Jr.",988,USA,1.8,inherited,male,55,Technology-Computer,new,relation
2014,"H. Ross Perot, Sr.",446,USA,3.5,founder non-finance,male,83,Technology-Computer,new,founder
2014,H. Wayne Huizenga,687,USA,2.5,self-made finance,male,76,Diversified financial,new,founder
2001,Haim Saban,387,USA,1.3,founder non-finance,male,56,Media,new,founder
2014,Haim Saban,466,USA,3.4,founder non-finance,male,69,Media,new,founder
2014,Hajime Satomi,1465,JPN,1.1,founder non-finance,male,72,"Retail, Restaurant",new,founder
1996,Halim Saad,397,MYS,1,privatized and resources,male,0,Diversified financial,,Chairman and Chief Executive Officer
2014,Hamdi Ulukaya,1210,TUR,1.4,founder non-finance,male,42,Consumer,new,founder
2014,Hamilton James,1092,USA,1.6,self-made finance,male,62,Money Management,new,president
2014,Han Chang-Woo,466,JPN,3.4,founder non-finance,male,83,"Retail, Restaurant",new,"Chairman, CEO",,,,,,,,,,,,
1996,Haniel family,12,DEU,8.1,inherited,,0,Diversified financial,new,,,,,,,,,,,,,
2014,Hank & Doug Meijer,153,USA,8.5,inherited,male,,"Retail, Restaurant",new,relation
2014,Hanni Toosbuy Kasprzak,642,DEN,2.7,inherited,female,56,Consumer,new,relation
1996,Hans and Gad Rausing,10,SWE,9,inherited,male,0,Consumer,new,relation
2014,Hans Melchers,931,NLD,1.9,executive,male,75,Non-consumer industrial,new,relation
2014,Hans Peter Wild,520,DEU,3.1,inherited,male,72,Consumer,new,relation
2001,Hans Rausing,40,SWE,7.7,inherited,male,74,Consumer,new,relation
2014,Hans Rausing,92,SWE,12,inherited,male,87,Consumer,new,relation
2014,Hansjoerg Wyss,111,CHE,10.5,founder non-finance,male,79,Technology-Medical,new division,founder/CEO
1996,Hans-Werner Hector,300,DEU,1.3,founder non-finance,male,56,Technology-Computer,new,founder
2001,Hans-Werner Hector,387,DEU,1.3,founder non-finance,male,61,Technology-Computer,new,founder
2014,Hans-Werner Hector,973,DEU,1.9,founder non-finance,male,74,Technology-Computer,new,founder
2014,Harindarpal Banga,1565,IND,1,privatized and resources,male,63,Mining and metals,new,Vice Chairman
2014,Harjo Sutanto,1465,IDN,1.1,founder non-finance,male,87,Consumer,new,founder
2014,Harold Hamm,68,USA,14.6,privatized and resources,male,68,Energy,new,founder
2001,Harold Lenfest,421,USA,1.2,founder non-finance,male,,Media,new,founder
2001,Harold Simmons,336,USA,1.5,self-made finance,male,69,Money Management,,investor 
2001,Harrison McCain,452,CAN,1.1,founder non-finance,male,73,Consumer,new,founder
1996,Harry Brakemann Helmsley,239,USA,1.7,self-made finance,male,0,Real Estate,aquired,founder
2014,Harry Stine,551,USA,3,founder non-finance,male,72,Consumer,new,founder
2014,Harry Triguboff,281,AUS,5,self-made finance,male,81,Real Estate,new,founder
2014,Hary Tanoesoedibjo,1372,IDN,1.2,founder non-finance,male,48,Media,aquired,founder
1996,Hasso Plattner,219,DEU,1.8,founder non-finance,male,52,Technology-Computer,new,founder
2001,Hasso Plattner,60,DEU,5.4,founder non-finance,male,57,Technology-Computer,new,founder
2014,Hasso Plattner,147,DEU,8.8,founder non-finance,male,70,Technology-Computer,new,founder
2014,He Qiaonu,1154,CHN,1.5,founder non-finance,female,48,Constrution,new,founder
2014,He Xiangjian,190,CHN,7.1,founder non-finance,male,71,Consumer,new,founder
2014,Heidi Horten,506,AUT,3.2,inherited,female,73,"Retail, Restaurant",new,relation
2014,Heinz Hermann Thiele,186,DEU,7.2,executive,male,72,Consumer,new,Chairman/shareholder
2014,Heinz-Georg Baus,388,DEU,3.9,founder non-finance,male,80,"Retail, Restaurant",new,founder
2014,Heinz-Horst Deichmann,295,DEU,4.9,inherited,male,87,Consumer,new,relation
2014,Helen Johnson-Leipold,551,USA,3,inherited,female,57,Consumer,new,relation
1996,Helen Walton,40,USA,4.7,inherited,female,76,Consumer, new,relation
2001,Helen Walton,10,USA,18.5,inherited,female,81,Consumer, new,relation
2014,Helena Revoredo,828,ESP,2.1,inherited,female,67,Money Management,new,relation
2014,Helmut Sohmen,663,AUT,2.6,inherited,male,74,Other,new,relation
2014,Heloise Waislitz,869,AUS,2,inherited,female,51,Consumer,new,relation
2014,Henadiy Boholyubov,764,UKR,2.3,self-made finance,male,52,Money Management,new,owner
1996,Henkel family,43,DEU,4.6,inherited,,0,Non-consumer industrial,new,,,,,,,,,,,,,
1996,Henri Andre,406,CHE,1,inherited,male,0,Money Management,new,relation
2014,Henri Beaufour,1565,FRA,1,inherited,male,48,Technology-Medical,new,relation
2014,Henry Engelhardt,1465,USA,1.1,self-made finance,male,56,Money Management,new,founder
1996,Henry Fok,131,HKG,2.5,self-made finance,male,72,Real Estate,new,investor
2001,Henry Fok,452,HKG,1.1,self-made finance,male,77,Real Estate,new,investor
2014,Henry Fong Yun Wah,731,HKG,2.4,self-made finance,male,89,Real Estate,new,founder
1996,Henry Hillman,126,USA,2.6,inherited,male,77,Money Management,new,relation
2001,Henry Hillman,151,USA,3,inherited,male,82,Money Management,new,relation
2014,Henry Hillman,687,USA,2.5,inherited,male,95,Diversified financial,new,relation
2001,Henry Kravis,336,USA,1.5,self-made finance,male,57,Private equity/leveraged buyout,new,founder
2014,Henry Kravis,281,USA,5,self-made finance,male,70,Private equity/leveraged buyout,new,founder
2001,Henry Nicholas,194,USA,2.4,founder non-finance,male,39,Technology-Computer,new,founder
2014,"Henry Nicholas, III.",1284,USA,1.3,founder non-finance,male,54,Technology-Computer,new,founder
1996,Henry Ross Perot Sr,83,USA,3.3,founder non-finance,male,0,Technology-Computer,new,founder
2001,Henry Ross Perot Sr,104,USA,3.8,founder non-finance,male,,Technology-Computer,new,founder
2001,Henry Samueli,198,USA,2.3,founder non-finance,male,46,Technology-Computer,new,founder
2014,Henry Samueli,925,USA,2,founder non-finance,male,59,Technology-Computer,new,founder
2014,Henry Swieca,1270,USA,1.4,self-made finance,male,56,Hedge funds,new,founder
1996,Henry Sy,197,PHL,2,founder non-finance,male,71,"Retail, Restaurant",new,founder
2001,Henry Sy,387,PHL,1.3,founder non-finance,male,76,"Retail, Restaurant",new,founder
2014,Henry Sy,97,PHL,11.4,self-made finance,male,89,Diversified financial,new,founder
2001,Henry Yuen,336,USA,1.5,founder non-finance,male,,Media,new,founder
2001,Herbert Allen,272,USA,1.8,inherited,male,61,Money Management,new,relation
2014,"Herbert Allen, Jr.",663,USA,2.6,inherited,male,74,Money Management,new,relation
2014,"Herbert Kohler, Jr.",215,USA,6.3,inherited,male,75,Non-consumer industrial,new,relation
2014,Herbert Louis,580,USA,2.9,inherited,male,85,Consumer,new,relation
2001,Herbert Siegel,421,USA,1.2,executive,male,73,Media,new, Chairman and Chief Executive Officer
2014,Herbert Simon,868,USA,2.1,self-made finance,male,79,Real Estate,new,founder
2014,Hinduja Brothers,122,GBR,10,inherited,male,,Diversified financial,new,relation
2014,Hiroshi Mikitani,132,JPN,9.3,founder non-finance,male,49,"Retail, Restaurant",new,founder
1996,Hiroshi Takei,309,JPN,1.3,,male,0,Real Estate,,,,,,,,,,,,,,
1996,Hiroshi Yamauchi,280,JPN,1.4,inherited,male,68,Technology-Computer,new,relation
2001,Hiroshi Yamauchi,162,JPN,2.9,inherited,male,73,Technology-Computer,new,relation
1996,Hisakazu Yamaguchi,147,JPN,2.4,inherited,male,0,"Retail, Restaurant",new,relation
2014,Hoang Kieu,1078,USA,1.7,founder non-finance,male,69,Technology-Medical,new,founder
2014,Hong Ra-Hee,1210,KOR,1.4,inherited,female,68,Technology-Computer,new,relation
1996,Hope Hill Van Beuren,368,USA,1.1,inherited,female,35,Consumer,aquired,relation
2001,Hope Hill Van Beuren,490,USA,1,inherited,female,55,Consumer,aquired,relation
2014,Horst Brandstaetter,1154,DEU,1.5,inherited,male,80,Consumer,new,relation
2014,Horst Julius Pudwill,1565,DEU,1,founder non-finance,male,69,Non-consumer industrial,new,founder
2014,Horst Paulmann,319,CHL,4.7,founder non-finance,male,79,"Retail, Restaurant",new,founder
2014,Howard Marks,869,USA,2,self-made finance,male,67,Private equity/leveraged buyout,new,founder
2014,Howard Schultz,828,USA,2.1,executive,male,60,Consumer,new,Chairman and Chief Executive Officer
2014,Hu Kaijun,1465,CHN,1.1,privatized and resources,male,52,Technology-Medical,new,owner
2014,Huang Bingwen,1046,AUS,1.7,founder non-finance,male,60,Media,new,founder
2014,Huang Li,1046,CHN,1.7,founder non-finance,male,50,Technology-Computer,new,founder
2014,Huang Rulun,609,CHN,2.8,self-made finance,male,62,Real Estate,new,founder
2014,Huang Shaowu,1092,CHN,1.6,founder non-finance,male,43,"Retail, Restaurant",new,founder
2014,Huang Shih Tsai,1154,HKG,1.5,self-made finance,male,62,Real Estate,new,founder
1996,Huang Shi-hui,226,Taiwan,1.8,inherited,male,0,Consumer,new,relation
2014,Huang Wei,1046,CHN,1.7,self-made finance,male,54,Real Estate,new,president
2014,Huang Wen Tsai,1372,CHN,1.2,self-made finance,male,60,Real Estate,new,founder
2014,Huang Yi,1356,HKG,1.3,founder non-finance,male,52,"Retail, Restaurant",new,founder
2014,Huang Zhenda,1465,CHN,1.1,founder non-finance,male,66,Constrution,new,founder
2001,Hubert Burda,234,DEU,2,inherited,male,61,Media,new,relation
2014,Hubert Burda,687,DEU,2.5,inherited,male,74,Media,new,relation
2014,Hubert d'Ornano,1356,FRA,1.3,founder non-finance,male,87,Consumer,new,founder
2014,Hubert Palfinger,1540,AUT,1.1,executive,male,72,Non-consumer industrial,new,relation
1996,Hugo Mann,220,DEU,1.8,founder non-finance,male,82,"Retail, Restaurant",new,founder
2001,Hugo Mann,234,DEU,2,founder non-finance,male,87,"Retail, Restaurant",new,founder
2014,Hui Ka Yan,244,CHN,5.7,self-made finance,male,55,Real Estate,new,chairman
2014,Hui Lin Chit,663,CHN,2.6,founder non-finance,male,61,Consumer,new,founder
2014,Hui Wing Mau,244,HKG,5.7,self-made finance,male,63,Real Estate,new,founder
2014,Huo Qinghua,1565,CHN,1,privatized and resources,male,52,Mining and metals,new,chairman
2014,Husnu Ozyegin,551,TUR,3,self-made finance,male,69,Money Management,new,founder
2014,Ian & Richard Livingstone,430,GBR,3.6,self-made finance,male,,Real Estate,new,founder
2014,Ian Wood,931,GBR,1.9,inherited,male,71,Energy,new,relation
2014,Idan Ofer,244,ISR,5.7,inherited,male,58,Energy,new,relation
2014,Igor Altushkin,1046,RUS,1.7,privatized and resources,male,43,Mining and metals,new,founder
2014,Igor Kesaev,408,RUS,3.7,privatized and resources,male,47,"Retail, Restaurant",new,founder
2014,Igor Makarov,828,RUS,2.1,privatized and resources,male,51,Energy,new,founder
2014,Igor Olenicoff,580,USA,2.9,self-made finance,male,71,Real Estate,new,founder
2014,Ihor Kolomoyskyy,828,UKR,2.1,self-made finance,male,51,Money Management,new,owner
2001,Ikuo Ogihara,452,JPN,1.1,,male,,Technology-Medical,new,president
2014,Ilkka Herlin,1465,FIN,1.1,inherited,male,55,Non-consumer industrial,aquired,relation
2014,Ilona Herlin,1465,FIN,1.1,inherited,female,49,Non-consumer industrial,aquired,relation
2014,Imogene Powers Johnson,551,USA,3,inherited,female,84,Consumer,new,relation
2014,Ina Chan,1565,HKG,1,inherited,female,60,Real Estate,new,relation
2014,Indu Jain,764,IND,2.3,inherited,female,77,Media,new,relation
2014,Ingeburg Herz,731,DEU,2.4,inherited,female,92,Consumer,new,relation
1996,Ingvar Kamprad,234,SWE,1.7,founder non-finance,male,69,"Retail, Restaurant",new,founder
2001,Ingvar Kamprad,17,SWE,13,founder non-finance,male,74,"Retail, Restaurant",new,founder
2014,Ingvar Kamprad,367,SWE,4.1,founder non-finance,male,87,"Retail, Restaurant",new,founder
2014,Ioan Niculae,1372,ROU,1.2,privatized and resources,male,59,Consumer,new,founder
2014,Ira Rennert,234,USA,6,self-made finance,male,79,Diversified financial,new,founder
2014,Iris Fontbona,58,CHL,15.5,inherited,female,71,Mining and metals,aquired,relation
2001,Irwin Jacobs,272,USA,1.8,founder non-finance,male,67,Technology-Computer,new,founder
2014,Irwin Jacobs,988,USA,1.8,founder non-finance,male,80,Technology-Computer,new,founder
