year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,Alexander Frolov,1154,RUS,1.5,privatized and resources,male,49,Mining and metals,aquired,ceo
2014,Alexander Knaster,828,USA,2.1,privatized and resources,male,55,Energy,new,founder
2014,Alexander Machkevich,1046,ISR,1.7,privatized and resources,male,60,Mining and metals,new,founder
2014,Alexander Mamut,764,RUS,2.3,privatized and resources,male,54,Diversified financial,new,investor
2014,Alexander Nesis,551,RUS,3,privatized and resources,male,51,Mining and metals,new,founder
2014,Alexander Ponomarenko,764,RUS,2.3,privatized and resources,male,49,Real Estate,privatization,chairman
2014,Alexander Putilov,1372,RUS,1.2,privatized and resources,male,61,Energy,subsidiary,owner
2014,Alexander Rovt,1465,USA,1.1,executive,male,61,Consumer,aquired,owner
2014,Alexander Skorobogatko,764,RUS,2.3,privatized and resources,male,46,Real Estate,privatization,chairman
2014,Alexander Spanos,1465,USA,1.1,self-made finance,male,90,Real Estate,new,founder
2014,Alexander Svetakov,520,RUS,3.1,self-made finance,male,46,Money Management,new,owner
2014,Alexander Vik,1565,NOR,1,self-made finance,male,59,Diversified financial,aquired,investor
2014,Alexandra Schorghuber,609,DEU,2.8,inherited,female,55,Real Estate,new,relation
2014,Alexandre Grendene Bartelle,1154,BRA,1.5,founder non-finance,male,64,Consumer,new,founder
2014,Alexandre Soares dos Santos,609,PRT,2.8,inherited,male,79,"Retail, Restaurant",new,relation
2014,Alexei Ananyev,869,RUS,2,self-made finance,male,49,Money Management,new,founder
2014,Alexei Bogachev,1442,RUS,1.2,executive,male,43,"Retail, Restaurant",new,owner
2014,Alexei Kuzmichev,147,RUS,8.8,privatized and resources,male,51,Energy,new,founder
2014,Alexei Mordashov,111,RUS,10.5,privatized and resources,male,48,Non-consumer industrial,privatization,general director
2014,Alexei Semin,1442,RUS,1.2,self-made finance,male,46,Real Estate,new,owner
1996,Alfonso Romo Garza,282,MEX,1.4,self-made finance,male,0,Money Management,new,founder
1996,Alfred Heineken,122,NLD,2.6,inherited,female,0,Consumer,new,relation
2001,Alfred Heineken,98,NLD,4,inherited,male,,Consumer,new,relation
2014,Alfred James Clark,1092,USA,1.6,executive,male,86,Constrution,aquired,chairman
1996,Alfred Lerner,294,USA,1.4,executive,male,0,Other,subsidiary,chairman
2001,Alfred Lerner,69,USA,5.1,executive,male,,Other,subsidiary,chairman
2014,Alfred Mann,1465,USA,1.1,founder non-finance,male,88,Technology-Medical,new,founder
2014,Alfred Oetker,1078,DEU,1.7,inherited,male,47,Consumer,new,relation
2014,Alfred Taubman,609,USA,2.8,self-made finance,male,90,Real Estate,new,founder
1996,Alfred von Oppenheim,190,DEU,2,inherited,male,0,Money Management,new,relation
2014,Alfredo Egydio Arruda Villela Filho,1442,BRA,1.2,inherited,male,44,Money Management,new,relation
2001,Alfredo Harp Helu,387,MEX,1.3,self-made finance,male,57,Money Management,aquired,owner
2014,Alfredo Harp Helu,1154,MEX,1.5,self-made finance,male,69,Money Management,aquired,owner
2014,Ali Ibrahim Agaoglu,1143,TUR,1.6,privatized and resources,male,60,Constrution,new,founder
1996,Alice Walton,41,USA,4.7,inherited,female,47,"Retail, Restaurant", new,relation
2001,Alice Walton,10,USA,18.5,inherited,female,52,"Retail, Restaurant", new,relation
2014,Alice Walton,13,USA,34.3,inherited,female,64,"Retail, Restaurant", new,relation
1996,Alicia and Esther Koplowitz,405,ESP,1,inherited,female,0,Constrution,aquired,relation
2001,Alicia Koplowitz,490,ESP,1,inherited,female,48,Constrution,aquired,relation
